
Date,Open,High,Low,Close,Volume,Symbol
2023-01-02,2500,2520,2490,2510,100000,RELIANCE
2023-01-03,2512,2530,2505,2525,120000,RELIANCE
2023-01-04,2525,2550,2520,2545,150000,RELIANCE
2023-01-05,2540,2545,2510,2515,130000,RELIANCE
2023-01-06,2515,2525,2495,2500,110000,RELIANCE
2023-01-09,2490,2510,2480,2505,140000,RELIANCE
2023-01-10,2508,2550,2505,2540,160000,RELIANCE
2023-01-11,2542,2560,2535,2555,170000,RELIANCE
2023-01-12,2550,2570,2540,2560,180000,RELIANCE
2023-01-13,2565,2580,2555,2575,190000,RELIANCE
2023-01-16,2570,2590,2560,2585,200000,RELIANCE
2023-01-17,2580,2600,2575,2595,210000,RELIANCE
2023-01-18,2595,2610,2590,2605,220000,RELIANCE
2023-01-19,2600,2605,2580,2585,190000,RELIANCE
2023-01-20,2585,2595,2570,2575,180000,RELIANCE
2023-01-23,2570,2580,2550,2555,160000,RELIANCE
2023-01-24,2550,2560,2530,2535,140000,RELIANCE
2023-01-25,2540,2555,2525,2530,130000,RELIANCE
2023-01-27,2535,2550,2510,2515,120000,RELIANCE
2023-01-30,2510,2520,2490,2500,110000,RELIANCE
2023-01-31,2505,2530,2500,2525,130000,RELIANCE
2023-01-02,3200,3220,3190,3210,80000,TCS
2023-01-03,3215,3240,3210,3235,90000,TCS
2023-01-04,3235,3260,3230,3255,100000,TCS
2023-01-05,3250,3255,3220,3225,95000,TCS
2023-01-06,3225,3245,3215,3220,85000,TCS
2023-01-09,3210,3230,3200,3225,92000,TCS
2023-01-10,3228,3260,3225,3250,110000,TCS
2023-01-11,3252,3270,3245,3265,120000,TCS
2023-01-12,3260,3280,3250,3270,130000,TCS
2023-01-13,3275,3290,3265,3285,140000,TCS
2023-01-16,3280,3300,3270,3295,150000,TCS
2023-01-17,3290,3310,3285,3305,160000,TCS
2023-01-18,3305,3320,3300,3315,170000,TCS
2023-01-19,3310,3315,3290,3295,140000,TCS
2023-01-20,3295,3305,3280,3285,130000,TCS
2023-01-23,3280,3290,3260,3265,110000,TCS
2023-01-24,3260,3270,3240,3245,100000,TCS
2023-01-25,3250,3265,3235,3240,95000,TCS
2023-01-27,3245,3260,3220,3225,90000,TCS
2023-01-30,3220,3230,3200,3210,85000,TCS
2023-01-31,3215,3240,3210,3235,95000,TCS
